"sample","scenario","seed","raw_column","raw_name","class_id","representative","representative_name"
"simulation","canonical",1,1,"x01",13,TRUE,"x01"
"simulation","canonical",1,2,"x02",19,TRUE,"x02"
"simulation","canonical",1,3,"x03",10,TRUE,"x03"
"simulation","canonical",1,4,"x04",7,TRUE,"x04"
"simulation","canonical",1,5,"x05",9,TRUE,"x05"
"simulation","canonical",1,6,"x06",6,TRUE,"x06"
"simulation","canonical",1,7,"x07",2,TRUE,"x07"
"simulation","canonical",1,8,"x08",3,TRUE,"x08"
"simulation","canonical",1,9,"x09",5,TRUE,"x09"
"simulation","canonical",1,10,"x10",18,TRUE,"x10"
"simulation","canonical",1,11,"x11",4,TRUE,"x11"
"simulation","canonical",1,12,"x12",17,TRUE,"x12"
"simulation","canonical",1,13,"x13",12,TRUE,"x13"
"simulation","canonical",1,14,"x14",11,TRUE,"x14"
"simulation","canonical",1,15,"x15",20,TRUE,"x15"
"simulation","canonical",1,16,"x16",16,TRUE,"x16"
"simulation","canonical",1,17,"x17",15,TRUE,"x17"
"simulation","canonical",1,18,"x18",8,TRUE,"x18"
"simulation","canonical",1,19,"x19",14,TRUE,"x19"
"simulation","canonical",1,20,"x20",1,TRUE,"x20"
"simulation","administrative_aliases",1,1,"x01",13,TRUE,"x01"
"simulation","administrative_aliases",1,2,"x02",19,TRUE,"x02"
"simulation","administrative_aliases",1,3,"x03",10,TRUE,"x03"
"simulation","administrative_aliases",1,4,"x04",7,TRUE,"x04"
"simulation","administrative_aliases",1,5,"x05",9,TRUE,"x05"
"simulation","administrative_aliases",1,6,"x06",6,TRUE,"x06"
"simulation","administrative_aliases",1,7,"x07",2,TRUE,"x07"
"simulation","administrative_aliases",1,8,"x08",3,TRUE,"x08"
"simulation","administrative_aliases",1,9,"x09",5,TRUE,"x09"
"simulation","administrative_aliases",1,10,"x10",18,TRUE,"x10"
"simulation","administrative_aliases",1,11,"x11",4,TRUE,"x11"
"simulation","administrative_aliases",1,12,"x12",17,TRUE,"x12"
"simulation","administrative_aliases",1,13,"x13",12,TRUE,"x13"
"simulation","administrative_aliases",1,14,"x14",11,TRUE,"x14"
"simulation","administrative_aliases",1,15,"x15",20,TRUE,"x15"
"simulation","administrative_aliases",1,16,"x16",16,TRUE,"x16"
"simulation","administrative_aliases",1,17,"x17",15,TRUE,"x17"
"simulation","administrative_aliases",1,18,"x18",8,TRUE,"x18"
"simulation","administrative_aliases",1,19,"x19",14,TRUE,"x19"
"simulation","administrative_aliases",1,20,"x20",1,TRUE,"x20"
"simulation","administrative_aliases",1,21,"x01__admin_alias",13,FALSE,"x01"
"simulation","administrative_aliases",1,22,"x08__admin_alias",3,FALSE,"x08"
"simulation","administrative_aliases",1,23,"x20__admin_alias",1,FALSE,"x20"
"simulation","unit_recodings",1,1,"x01",13,TRUE,"x01"
"simulation","unit_recodings",1,2,"x02",19,TRUE,"x02"
"simulation","unit_recodings",1,3,"x03",10,TRUE,"x03"
"simulation","unit_recodings",1,4,"x04",7,TRUE,"x04"
"simulation","unit_recodings",1,5,"x05",9,TRUE,"x05"
"simulation","unit_recodings",1,6,"x06",6,TRUE,"x06"
"simulation","unit_recodings",1,7,"x07",2,TRUE,"x07"
"simulation","unit_recodings",1,8,"x08",3,TRUE,"x08"
"simulation","unit_recodings",1,9,"x09",5,TRUE,"x09"
"simulation","unit_recodings",1,10,"x10",18,TRUE,"x10"
"simulation","unit_recodings",1,11,"x11",4,TRUE,"x11"
"simulation","unit_recodings",1,12,"x12",17,TRUE,"x12"
"simulation","unit_recodings",1,13,"x13",12,TRUE,"x13"
"simulation","unit_recodings",1,14,"x14",11,TRUE,"x14"
"simulation","unit_recodings",1,15,"x15",20,TRUE,"x15"
"simulation","unit_recodings",1,16,"x16",16,TRUE,"x16"
"simulation","unit_recodings",1,17,"x17",15,TRUE,"x17"
"simulation","unit_recodings",1,18,"x18",8,TRUE,"x18"
"simulation","unit_recodings",1,19,"x19",14,TRUE,"x19"
"simulation","unit_recodings",1,20,"x20",1,TRUE,"x20"
"simulation","unit_recodings",1,21,"x02__standardized",19,FALSE,"x02"
"simulation","unit_recodings",1,22,"x05__standardized",9,FALSE,"x05"
"simulation","unit_recodings",1,23,"x06__standardized",6,FALSE,"x06"
"simulation","complements",1,1,"x01",13,TRUE,"x01"
"simulation","complements",1,2,"x02",19,TRUE,"x02"
"simulation","complements",1,3,"x03",10,TRUE,"x03"
"simulation","complements",1,4,"x04",7,TRUE,"x04"
"simulation","complements",1,5,"x05",9,TRUE,"x05"
"simulation","complements",1,6,"x06",6,TRUE,"x06"
"simulation","complements",1,7,"x07",2,TRUE,"x07"
"simulation","complements",1,8,"x08",3,TRUE,"x08"
"simulation","complements",1,9,"x09",5,TRUE,"x09"
"simulation","complements",1,10,"x10",18,TRUE,"x10"
"simulation","complements",1,11,"x11",4,TRUE,"x11"
"simulation","complements",1,12,"x12",17,TRUE,"x12"
"simulation","complements",1,13,"x13",12,TRUE,"x13"
"simulation","complements",1,14,"x14",11,TRUE,"x14"
"simulation","complements",1,15,"x15",20,TRUE,"x15"
"simulation","complements",1,16,"x16",16,TRUE,"x16"
"simulation","complements",1,17,"x17",15,TRUE,"x17"
"simulation","complements",1,18,"x18",8,TRUE,"x18"
"simulation","complements",1,19,"x19",14,TRUE,"x19"
"simulation","complements",1,20,"x20",1,TRUE,"x20"
"simulation","complements",1,21,"x03__complement",10,FALSE,"x03"
"simulation","complements",1,22,"x07__complement",2,FALSE,"x07"
"simulation","complements",1,23,"x09__complement",5,FALSE,"x09"
"simulation","raw_log_rank",1,1,"x01",13,TRUE,"x01"
"simulation","raw_log_rank",1,2,"x02",19,TRUE,"x02"
"simulation","raw_log_rank",1,3,"x03",10,TRUE,"x03"
"simulation","raw_log_rank",1,4,"x04",7,TRUE,"x04"
"simulation","raw_log_rank",1,5,"x05",9,TRUE,"x05"
"simulation","raw_log_rank",1,6,"x06",6,TRUE,"x06"
"simulation","raw_log_rank",1,7,"x07",2,TRUE,"x07"
"simulation","raw_log_rank",1,8,"x08",3,TRUE,"x08"
"simulation","raw_log_rank",1,9,"x09",5,TRUE,"x09"
"simulation","raw_log_rank",1,10,"x10",18,TRUE,"x10"
"simulation","raw_log_rank",1,11,"x11",4,TRUE,"x11"
"simulation","raw_log_rank",1,12,"x12",17,TRUE,"x12"
"simulation","raw_log_rank",1,13,"x13",12,TRUE,"x13"
"simulation","raw_log_rank",1,14,"x14",11,TRUE,"x14"
"simulation","raw_log_rank",1,15,"x15",20,TRUE,"x15"
"simulation","raw_log_rank",1,16,"x16",16,TRUE,"x16"
"simulation","raw_log_rank",1,17,"x17",15,TRUE,"x17"
"simulation","raw_log_rank",1,18,"x18",8,TRUE,"x18"
"simulation","raw_log_rank",1,19,"x19",14,TRUE,"x19"
"simulation","raw_log_rank",1,20,"x20",1,TRUE,"x20"
"simulation","raw_log_rank",1,21,"x01__log",13,FALSE,"x01"
"simulation","raw_log_rank",1,22,"x01__rank",13,FALSE,"x01"
"simulation","raw_log_rank",1,23,"x02__log",19,FALSE,"x02"
"simulation","raw_log_rank",1,24,"x02__rank",19,FALSE,"x02"
"simulation","raw_log_rank",1,25,"x03__log",10,FALSE,"x03"
"simulation","raw_log_rank",1,26,"x03__rank",10,FALSE,"x03"
"simulation","routine_bundle",1,1,"x01",13,TRUE,"x01"
"simulation","routine_bundle",1,2,"x02",19,TRUE,"x02"
"simulation","routine_bundle",1,3,"x03",10,TRUE,"x03"
"simulation","routine_bundle",1,4,"x04",7,TRUE,"x04"
"simulation","routine_bundle",1,5,"x05",9,TRUE,"x05"
"simulation","routine_bundle",1,6,"x06",6,TRUE,"x06"
"simulation","routine_bundle",1,7,"x07",2,TRUE,"x07"
"simulation","routine_bundle",1,8,"x08",3,TRUE,"x08"
"simulation","routine_bundle",1,9,"x09",5,TRUE,"x09"
"simulation","routine_bundle",1,10,"x10",18,TRUE,"x10"
"simulation","routine_bundle",1,11,"x11",4,TRUE,"x11"
"simulation","routine_bundle",1,12,"x12",17,TRUE,"x12"
