"replication","data_seed","forest_seed","scenario","method","n_train","n_test","raw_dimension","fitted_dimension","semantic_dimension","mtry","budget_share","maximum_absolute_prediction_difference","cate_rmse","cate_correlation","cate_rank_correlation","representation_cate_correlation","representation_rank_correlation","assignment_switching","top_set_overlap","policy_value","policy_regret","policy_value_difference","regret_difference","share_group_a_treated","share_group_b_treated"
1,20270809,20280809,"canonical","ordinary",3000,30000,20,20,20,6,0.2,0,0.391199338881512,0.799120465350648,0.679231037899146,1,1,0,1,0.276156940801015,0.0133894509877442,0,0,0.901333333333333,0.0653333333333333
1,20270809,20280809,"canonical","exact_deduplication",3000,30000,20,20,20,6,0.2,0,0.391199338881512,0.799120465350648,0.679231037899146,1,1,0,1,0.276156940801015,0.0133894509877442,0,0,0.901333333333333,0.0653333333333333
1,20270809,20280809,"canonical","dimension_adjusted_mtry",3000,30000,20,20,20,6,0.2,0,0.391199338881512,0.799120465350648,0.679231037899146,1,1,0,1,0.276156940801015,0.0133894509877442,0,0,0.901333333333333,0.0653333333333333
1,20270809,20280809,"canonical","class_sampled",3000,30000,20,20,20,6,0.2,0,0.386055701810736,0.80634957426466,0.697062791378514,1,1,0,1,0.278897205456255,0.0106491863325046,0,0,0.915166666666667,0.0605
1,20270809,20280809,"administrative_aliases","ordinary",3000,30000,23,23,20,6,0.2,0.226439157790988,0.379315313364929,0.796880489302721,0.682751327669724,0.996038308702283,0.963722938346359,0.0151333333333333,0.927091697446603,0.279556704993279,0.00998968679548057,0.00339976419226368,-0.00339976419226368,0.928166666666667,0.0458333333333333
1,20270809,20280809,"administrative_aliases","exact_deduplication",3000,30000,23,20,20,6,0.2,0,0.391199338881512,0.799120465350648,0.679231037899146,1,1,0,1,0.276156940801015,0.0133894509877442,0,0,0.901333333333333,0.0653333333333333
1,20270809,20280809,"administrative_aliases","dimension_adjusted_mtry",3000,30000,23,23,20,7,0.2,0.254064438985812,0.376561913851767,0.79857797718935,0.674199082278888,0.995540878705871,0.962990839006879,0.0212666666666667,0.899034657382497,0.282013305758325,0.00753308603043457,0.00585636495730968,-0.00585636495730968,0.95,0.0283333333333333
1,20270809,20280809,"administrative_aliases","class_sampled",3000,30000,23,20,20,6,0.2,0,0.386055701810736,0.80634957426466,0.697062791378514,1,1,0,1,0.278897205456255,0.0106491863325046,0,0,0.915166666666667,0.0605
1,20270809,20280809,"unit_recodings","ordinary",3000,30000,23,23,20,6,0.2,0.16398742694803,0.394736122844764,0.805330087512404,0.677583907294649,0.994668164448341,0.963830425026923,0.02,0.904761904761905,0.274723694726551,0.0148226970622082,-0.00143324607446393,0.00143324607446393,0.876166666666667,0.0913333333333333
1,20270809,20280809,"unit_recodings","exact_deduplication",3000,30000,23,23,20,6,0.2,0.16398742694803,0.394736122844764,0.805330087512404,0.677583907294649,0.994668164448341,0.963830425026923,0.02,0.904761904761905,0.274723694726551,0.0148226970622082,-0.00143324607446393,0.00143324607446393,0.876166666666667,0.0913333333333333
1,20270809,20280809,"unit_recodings","dimension_adjusted_mtry",3000,30000,23,23,20,7,0.2,0.140523567111327,0.387600042905378,0.80683871108455,0.688832802968481,0.995490867095546,0.964156879457508,0.0151333333333333,0.927091697446603,0.277218902120499,0.0123274896682609,0.00106196131948333,-0.00106196131948333,0.895,0.0781666666666667
1,20270809,20280809,"unit_recodings","class_sampled",3000,30000,23,20,20,6,0.2,0,0.386055701810736,0.80634957426466,0.697062791378514,1,1,0,1,0.278897205456255,0.0106491863325046,0,0,0.915166666666667,0.0605
1,20270809,20280809,"complements","ordinary",3000,30000,23,23,20,6,0.2,0.210752014955358,0.386150197285021,0.822569810560445,0.695180507507978,0.995062753508388,0.96605776453562,0.0153333333333333,0.926163723916533,0.281376496957663,0.00816989483109626,0.00521955615664799,-0.00521955615664799,0.930833333333333,0.051
