"scenario","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high","q025","median","q975"
"canonical","ordinary","cate_rmse",20,0.389466595217234,0.0213815493321833,0.0047810597771027,0.379459722098194,0.399473468336274,0.361323417735472,0.386159247445176,0.432890769273025
"canonical","ordinary","cate_correlation",20,0.837966330372192,0.0264302745845544,0.00590998906350486,0.825596581100986,0.850336079643397,0.79662655362227,0.845063399857405,0.872204470383803
"canonical","ordinary","cate_rank_correlation",20,0.665384959037331,0.0381217492228226,0.00852428226834312,0.647543431203123,0.68322648687154,0.595051137653701,0.672219999915578,0.732420942749079
"canonical","ordinary","representation_cate_correlation",20,1,0,0,1,1,1,1,1
"canonical","ordinary","representation_rank_correlation",20,1,0,0,1,1,1,1,1
"canonical","ordinary","assignment_switching",20,0,0,0,0,0,0,0,0
"canonical","ordinary","top_set_overlap",20,1,0,0,1,1,1,1,1
"canonical","ordinary","policy_value",20,0.279703925202586,0.00427667199013538,0.000956292928741203,0.27770238109967,0.281705469305502,0.272943739063715,0.279250527391599,0.286635871584955
"canonical","ordinary","policy_regret",20,0.00939517230916164,0.00434580673913884,0.000971751928579114,0.00736127214772789,0.0114290724705954,0.00266502924220156,0.0101931727664679,0.0165804122959003
"canonical","ordinary","policy_value_difference",20,0,0,0,0,0,0,0,0
"canonical","ordinary","regret_difference",20,0,0,0,0,0,0,0,0
"canonical","exact_deduplication","cate_rmse",20,0.389466595217234,0.0213815493321833,0.0047810597771027,0.379459722098194,0.399473468336274,0.361323417735472,0.386159247445176,0.432890769273025
"canonical","exact_deduplication","cate_correlation",20,0.837966330372192,0.0264302745845544,0.00590998906350486,0.825596581100986,0.850336079643397,0.79662655362227,0.845063399857405,0.872204470383803
"canonical","exact_deduplication","cate_rank_correlation",20,0.665384959037331,0.0381217492228226,0.00852428226834312,0.647543431203123,0.68322648687154,0.595051137653701,0.672219999915578,0.732420942749079
"canonical","exact_deduplication","representation_cate_correlation",20,1,0,0,1,1,1,1,1
"canonical","exact_deduplication","representation_rank_correlation",20,1,0,0,1,1,1,1,1
"canonical","exact_deduplication","assignment_switching",20,0,0,0,0,0,0,0,0
"canonical","exact_deduplication","top_set_overlap",20,1,0,0,1,1,1,1,1
"canonical","exact_deduplication","policy_value",20,0.279703925202586,0.00427667199013538,0.000956292928741203,0.27770238109967,0.281705469305502,0.272943739063715,0.279250527391599,0.286635871584955
