"dataset","specification","seed","subset","observations","atet_difference","se_difference","gamma0_rmse","gamma1_rmse","contrast_rmse","contrast_correlation","contrast_sign_disagreement"
"NSW",1,1,"all",357,-75.8018895210989,-50.0253505661553,421.153088050273,361.045731869877,516.038418901662,0.98860007936023,0.0336134453781513
"NSW",1,1,"treated",185,-75.8018895210989,-50.0253505661553,398.61382355495,403.262670477076,529.195175890426,0.988038645113356,0.0378378378378378
"PSID",1,1,"all",912,139.823127076809,-30.3171397101572,719.764536772944,1178.66711760117,948.164942916654,0.979979808733204,0.025219298245614
"PSID",1,1,"treated",185,139.823127076809,-30.3171397101572,624.930087234859,556.40016640789,659.23139151256,0.986165538324124,0.0594594594594595
"CPS",1,1,"all",6089,-80.6175948749692,-9.27280973447398,542.88805565794,715.526045756751,566.548231977254,0.985779413079165,0.0683199211693217
"CPS",1,1,"treated",185,-80.6175948749692,-9.27280973447398,557.487338702505,657.938890872268,707.647272680957,0.98517182587644,0.0540540540540541
"NSW",2,1,"all",357,67.5604157783428,2.41866687128618,443.658991275274,363.552086561281,529.38063949001,0.987949720429105,0.0280112044817927
"NSW",2,1,"treated",185,67.5604157783428,2.41866687128618,423.678811278903,373.110475693232,533.224025791459,0.987933024975978,0.0216216216216216
"PSID",2,1,"all",912,-49.0829526278951,-14.766800945376,736.704978318309,1006.99614686993,823.675024759864,0.985421577432698,0.0263157894736842
"PSID",2,1,"treated",185,-49.0829526278951,-14.766800945376,630.34829544704,551.339487070058,747.220635177018,0.984132986243498,0.0594594594594595
"CPS",2,1,"all",6089,-29.1592612195104,-8.44397338633473,574.657930756144,807.022852595793,668.570403406475,0.981225028317993,0.0834291345048448
"CPS",2,1,"treated",185,-29.1592612195104,-8.44397338633473,605.904449970473,825.975599103829,819.865249360494,0.979178654088921,0.0648648648648649
