"class_id","representative_index","representative","member_index","member","direction","class_size","identical_canonical_values"
1,1,"intercept",1,"intercept","representative",1,TRUE
2,2,"treatment",2,"treatment","representative",1,TRUE
3,3,"age",3,"age","representative",2,TRUE
3,3,"age",10,"age_sq","increasing",2,TRUE
4,4,"education",4,"education","representative",2,TRUE
4,4,"education",11,"education_sq","increasing",2,TRUE
5,5,"married",5,"married","representative",1,TRUE
6,6,"black",6,"black","representative",1,TRUE
7,7,"hispanic",7,"hispanic","representative",1,TRUE
8,8,"re74",8,"re74","representative",2,TRUE
8,8,"re74",12,"re74_sq","increasing",2,TRUE
9,9,"re75",9,"re75","representative",2,TRUE
9,9,"re75",13,"re75_sq","increasing",2,TRUE
10,14,"treatment_x_age",14,"treatment_x_age","representative",1,TRUE
11,15,"treatment_x_education",15,"treatment_x_education","representative",1,TRUE
12,16,"treatment_x_married",16,"treatment_x_married","representative",1,TRUE
13,17,"treatment_x_black",17,"treatment_x_black","representative",1,TRUE
14,18,"treatment_x_hispanic",18,"treatment_x_hispanic","representative",1,TRUE
15,19,"treatment_x_re74",19,"treatment_x_re74","representative",1,TRUE
16,20,"treatment_x_re75",20,"treatment_x_re75","representative",1,TRUE
17,21,"treatment_x_age_sq",21,"treatment_x_age_sq","representative",1,TRUE
18,22,"treatment_x_education_sq",22,"treatment_x_education_sq","representative",1,TRUE
19,23,"treatment_x_re74_sq",23,"treatment_x_re74_sq","representative",1,TRUE
20,24,"treatment_x_re75_sq",24,"treatment_x_re75_sq","representative",1,TRUE
