"dataset","specification","variant","seed","rng_scheme","observations","treated","controls","dictionary_columns","removed_columns","mtry","ntree","c_rr","atet","se","ci_low","ci_high"
"NSW",1,"canonical_full",1,"fixed_folds_seeded_forests",357,185,172,24,0,8,1000,0.5,3142.29066458783,1340.15692769313,515.583086309284,5768.99824286637
"NSW",1,"canonical_reduced",1,"fixed_folds_seeded_forests",357,185,172,19,5,8,1000,0.5,3066.48877506673,1290.13157712698,537.830883897849,5595.1466662356
"PSID",1,"canonical_full",1,"fixed_folds_seeded_forests",912,185,727,24,0,8,1000,0.5,1506.36254383996,971.490677660548,-397.759184374713,3410.48427205463
"PSID",1,"canonical_reduced",1,"fixed_folds_seeded_forests",912,185,727,20,4,8,1000,0.5,1646.18567091677,941.17353795039,-198.514463465996,3490.88580529953
"CPS",1,"canonical_full",1,"fixed_folds_seeded_forests",6089,185,5904,24,0,8,1000,0.5,1677.69255530338,616.302280758688,469.740085016353,2885.64502559041
"CPS",1,"canonical_reduced",1,"fixed_folds_seeded_forests",6089,185,5904,19,5,8,1000,0.5,1597.07496042841,607.029471024214,407.297197220953,2786.85272363587
"NSW",2,"canonical_full",1,"fixed_folds_seeded_forests",357,185,172,30,0,10,1000,0.5,3221.89259982698,1410.82062955602,456.68416589719,5987.10103375677
"NSW",2,"canonical_reduced",1,"fixed_folds_seeded_forests",357,185,172,25,5,10,1000,0.5,3289.45301560532,1413.2392964273,519.503994607811,6059.40203660284
"PSID",2,"canonical_full",1,"fixed_folds_seeded_forests",912,185,727,30,0,10,1000,0.5,1385.5150048514,949.697113028474,-475.891336684408,3246.92134638721
"PSID",2,"canonical_reduced",1,"fixed_folds_seeded_forests",912,185,727,26,4,10,1000,0.5,1336.43205222351,934.930312083098,-496.031359459366,3168.89546390638
"CPS",2,"canonical_full",1,"fixed_folds_seeded_forests",6089,185,5904,30,0,10,1000,0.5,1551.64435987138,618.14920469275,340.071918673586,2763.21680106917
"CPS",2,"canonical_reduced",1,"fixed_folds_seeded_forests",6089,185,5904,25,5,10,1000,0.5,1522.48509865187,609.705231306415,327.462845291292,2717.50735201244
