"class_id","representative_index","representative","member_index","member","direction","class_size","dataset","specification"
1,1,"intercept",1,"intercept","representative",1,"NSW",1
2,2,"treatment",2,"treatment","representative",1,"NSW",1
3,3,"age",3,"age","representative",2,"NSW",1
3,3,"age",10,"age_sq","increasing",2,"NSW",1
4,4,"education",4,"education","representative",2,"NSW",1
4,4,"education",11,"education_sq","increasing",2,"NSW",1
5,5,"married",5,"married","representative",1,"NSW",1
6,6,"black",6,"black","representative",1,"NSW",1
7,7,"hispanic",7,"hispanic","representative",1,"NSW",1
8,8,"re74",8,"re74","representative",2,"NSW",1
8,8,"re74",12,"re74_sq","increasing",2,"NSW",1
9,9,"re75",9,"re75","representative",2,"NSW",1
9,9,"re75",13,"re75_sq","increasing",2,"NSW",1
10,14,"treatment_x_age",14,"treatment_x_age","representative",1,"NSW",1
11,15,"treatment_x_education",15,"treatment_x_education","representative",2,"NSW",1
11,15,"treatment_x_education",22,"treatment_x_education_sq","increasing",2,"NSW",1
12,16,"treatment_x_married",16,"treatment_x_married","representative",1,"NSW",1
13,17,"treatment_x_black",17,"treatment_x_black","representative",1,"NSW",1
14,18,"treatment_x_hispanic",18,"treatment_x_hispanic","representative",1,"NSW",1
15,19,"treatment_x_re74",19,"treatment_x_re74","representative",1,"NSW",1
16,20,"treatment_x_re75",20,"treatment_x_re75","representative",1,"NSW",1
17,21,"treatment_x_age_sq",21,"treatment_x_age_sq","representative",1,"NSW",1
18,23,"treatment_x_re74_sq",23,"treatment_x_re74_sq","representative",1,"NSW",1
19,24,"treatment_x_re75_sq",24,"treatment_x_re75_sq","representative",1,"NSW",1
1,1,"intercept",1,"intercept","representative",1,"NSW",2
2,2,"treatment",2,"treatment","representative",1,"NSW",2
3,3,"age",3,"age","representative",2,"NSW",2
3,3,"age",10,"age_sq","increasing",2,"NSW",2
4,4,"education",4,"education","representative",2,"NSW",2
4,4,"education",11,"education_sq","increasing",2,"NSW",2
5,5,"married",5,"married","representative",1,"NSW",2
6,6,"black",6,"black","representative",1,"NSW",2
7,7,"hispanic",7,"hispanic","representative",1,"NSW",2
8,8,"re74",8,"re74","representative",2,"NSW",2
8,8,"re74",12,"re74_sq","increasing",2,"NSW",2
9,9,"re75",9,"re75","representative",2,"NSW",2
9,9,"re75",13,"re75_sq","increasing",2,"NSW",2
10,14,"re74_zero",14,"re74_zero","representative",1,"NSW",2
11,15,"re75_zero",15,"re75_zero","representative",1,"NSW",2
12,16,"nodegree",16,"nodegree","representative",1,"NSW",2
13,17,"treatment_x_age",17,"treatment_x_age","representative",1,"NSW",2
14,18,"treatment_x_education",18,"treatment_x_education","representative",2,"NSW",2
14,18,"treatment_x_education",25,"treatment_x_education_sq","increasing",2,"NSW",2
15,19,"treatment_x_married",19,"treatment_x_married","representative",1,"NSW",2
16,20,"treatment_x_black",20,"treatment_x_black","representative",1,"NSW",2
17,21,"treatment_x_hispanic",21,"treatment_x_hispanic","representative",1,"NSW",2
18,22,"treatment_x_re74",22,"treatment_x_re74","representative",1,"NSW",2
19,23,"treatment_x_re75",23,"treatment_x_re75","representative",1,"NSW",2
20,24,"treatment_x_age_sq",24,"treatment_x_age_sq","representative",1,"NSW",2
21,26,"treatment_x_re74_sq",26,"treatment_x_re74_sq","representative",1,"NSW",2
22,27,"treatment_x_re75_sq",27,"treatment_x_re75_sq","representative",1,"NSW",2
23,28,"treatment_x_re74_zero",28,"treatment_x_re74_zero","representative",1,"NSW",2
24,29,"treatment_x_re75_zero",29,"treatment_x_re75_zero","representative",1,"NSW",2
25,30,"treatment_x_nodegree",30,"treatment_x_nodegree","representative",1,"NSW",2
1,1,"intercept",1,"intercept","representative",1,"PSID",1
2,2,"treatment",2,"treatment","representative",1,"PSID",1
3,3,"age",3,"age","representative",2,"PSID",1
3,3,"age",10,"age_sq","increasing",2,"PSID",1
4,4,"education",4,"education","representative",2,"PSID",1
4,4,"education",11,"education_sq","increasing",2,"PSID",1
5,5,"married",5,"married","representative",1,"PSID",1
6,6,"black",6,"black","representative",1,"PSID",1
7,7,"hispanic",7,"hispanic","representative",1,"PSID",1
8,8,"re74",8,"re74","representative",2,"PSID",1
8,8,"re74",12,"re74_sq","increasing",2,"PSID",1
9,9,"re75",9,"re75","representative",2,"PSID",1
9,9,"re75",13,"re75_sq","increasing",2,"PSID",1
10,14,"treatment_x_age",14,"treatment_x_age","representative",1,"PSID",1
11,15,"treatment_x_education",15,"treatment_x_education","representative",1,"PSID",1
12,16,"treatment_x_married",16,"treatment_x_married","representative",1,"PSID",1
13,17,"treatment_x_black",17,"treatment_x_black","representative",1,"PSID",1
14,18,"treatment_x_hispanic",18,"treatment_x_hispanic","representative",1,"PSID",1
15,19,"treatment_x_re74",19,"treatment_x_re74","representative",1,"PSID",1
16,20,"treatment_x_re75",20,"treatment_x_re75","representative",1,"PSID",1
17,21,"treatment_x_age_sq",21,"treatment_x_age_sq","representative",1,"PSID",1
18,22,"treatment_x_education_sq",22,"treatment_x_education_sq","representative",1,"PSID",1
19,23,"treatment_x_re74_sq",23,"treatment_x_re74_sq","representative",1,"PSID",1
20,24,"treatment_x_re75_sq",24,"treatment_x_re75_sq","representative",1,"PSID",1
1,1,"intercept",1,"intercept","representative",1,"PSID",2
2,2,"treatment",2,"treatment","representative",1,"PSID",2
3,3,"age",3,"age","representative",2,"PSID",2
3,3,"age",10,"age_sq","increasing",2,"PSID",2
4,4,"education",4,"education","representative",2,"PSID",2
4,4,"education",11,"education_sq","increasing",2,"PSID",2
5,5,"married",5,"married","representative",1,"PSID",2
6,6,"black",6,"black","representative",1,"PSID",2
7,7,"hispanic",7,"hispanic","representative",1,"PSID",2
8,8,"re74",8,"re74","representative",2,"PSID",2
8,8,"re74",12,"re74_sq","increasing",2,"PSID",2
9,9,"re75",9,"re75","representative",2,"PSID",2
9,9,"re75",13,"re75_sq","increasing",2,"PSID",2
10,14,"re74_zero",14,"re74_zero","representative",1,"PSID",2
11,15,"re75_zero",15,"re75_zero","representative",1,"PSID",2
12,16,"nodegree",16,"nodegree","representative",1,"PSID",2
13,17,"treatment_x_age",17,"treatment_x_age","representative",1,"PSID",2
14,18,"treatment_x_education",18,"treatment_x_education","representative",1,"PSID",2
15,19,"treatment_x_married",19,"treatment_x_married","representative",1,"PSID",2
16,20,"treatment_x_black",20,"treatment_x_black","representative",1,"PSID",2
17,21,"treatment_x_hispanic",21,"treatment_x_hispanic","representative",1,"PSID",2
18,22,"treatment_x_re74",22,"treatment_x_re74","representative",1,"PSID",2
19,23,"treatment_x_re75",23,"treatment_x_re75","representative",1,"PSID",2
20,24,"treatment_x_age_sq",24,"treatment_x_age_sq","representative",1,"PSID",2
21,25,"treatment_x_education_sq",25,"treatment_x_education_sq","representative",1,"PSID",2
22,26,"treatment_x_re74_sq",26,"treatment_x_re74_sq","representative",1,"PSID",2
23,27,"treatment_x_re75_sq",27,"treatment_x_re75_sq","representative",1,"PSID",2
24,28,"treatment_x_re74_zero",28,"treatment_x_re74_zero","representative",1,"PSID",2
25,29,"treatment_x_re75_zero",29,"treatment_x_re75_zero","representative",1,"PSID",2
26,30,"treatment_x_nodegree",30,"treatment_x_nodegree","representative",1,"PSID",2
1,1,"intercept",1,"intercept","representative",1,"CPS",1
2,2,"treatment",2,"treatment","representative",1,"CPS",1
3,3,"age",3,"age","representative",2,"CPS",1
3,3,"age",10,"age_sq","increasing",2,"CPS",1
4,4,"education",4,"education","representative",2,"CPS",1
4,4,"education",11,"education_sq","increasing",2,"CPS",1
5,5,"married",5,"married","representative",1,"CPS",1
6,6,"black",6,"black","representative",1,"CPS",1
7,7,"hispanic",7,"hispanic","representative",1,"CPS",1
8,8,"re74",8,"re74","representative",2,"CPS",1
8,8,"re74",12,"re74_sq","increasing",2,"CPS",1
9,9,"re75",9,"re75","representative",2,"CPS",1
9,9,"re75",13,"re75_sq","increasing",2,"CPS",1
10,14,"treatment_x_age",14,"treatment_x_age","representative",1,"CPS",1
11,15,"treatment_x_education",15,"treatment_x_education","representative",2,"CPS",1
11,15,"treatment_x_education",22,"treatment_x_education_sq","increasing",2,"CPS",1
12,16,"treatment_x_married",16,"treatment_x_married","representative",1,"CPS",1
13,17,"treatment_x_black",17,"treatment_x_black","representative",1,"CPS",1
