"dataset","specification","variant","seed","rng_scheme","observations","treated","controls","dictionary_columns","removed_columns","mtry","ntree","c_rr","atet","se","ci_low","ci_high"
"NSW",1,"published_full",1,"fixed_folds_seeded_forests",357,185,172,24,0,8,1000,0.5,3013.58241515023,1277.85982530183,508.977157558637,5518.18767274183
"NSW",1,"quotient_default",1,"fixed_folds_seeded_forests",357,185,172,19,5,6,1000,0.5,3127.84049385908,1322.00755664129,536.705682842156,5718.975304876
"NSW",1,"quotient_fixed_mtry",1,"fixed_folds_seeded_forests",357,185,172,19,5,8,1000,0.5,3043.60256026177,1304.90166781302,485.995291348255,5601.20982917528
"NSW",2,"published_full",1,"fixed_folds_seeded_forests",357,185,172,30,0,10,1000,0.5,3207.00507887773,1364.92110873035,531.759705766245,5882.25045198921
"NSW",2,"quotient_default",1,"fixed_folds_seeded_forests",357,185,172,25,5,8,1000,0.5,3191.10242819102,1359.73382697667,526.024127316739,5856.1807290653
"NSW",2,"quotient_fixed_mtry",1,"fixed_folds_seeded_forests",357,185,172,25,5,10,1000,0.5,3038.05156323997,1264.32897771106,559.96676692629,5516.13635955365
"PSID",1,"published_full",1,"fixed_folds_seeded_forests",912,185,727,24,0,8,1000,0.5,1469.0165157644,975.620084345689,-443.19884955315,3381.23188108195
"PSID",1,"quotient_default",1,"fixed_folds_seeded_forests",912,185,727,20,4,6,1000,0.5,1554.99152035802,924.215056406749,-256.469990199206,3366.45303091525
"PSID",1,"quotient_fixed_mtry",1,"fixed_folds_seeded_forests",912,185,727,20,4,8,1000,0.5,1645.78594412072,941.585473134737,-199.721583223368,3491.2934714648
"PSID",2,"published_full",1,"fixed_folds_seeded_forests",912,185,727,30,0,10,1000,0.5,1381.08845554732,949.049376677046,-479.048322739686,3241.22523383433
"PSID",2,"quotient_default",1,"fixed_folds_seeded_forests",912,185,727,26,4,8,1000,0.5,1362.56672367072,921.714929176495,-443.994537515207,3169.12798485665
"PSID",2,"quotient_fixed_mtry",1,"fixed_folds_seeded_forests",912,185,727,26,4,10,1000,0.5,1345.03387354734,930.978959584474,-479.684887238229,3169.75263433291
"CPS",1,"published_full",1,"fixed_folds_seeded_forests",6089,185,5904,24,0,8,1000,0.5,1636.21708747709,616.272504323344,428.322979003334,2844.11119595084
"CPS",1,"quotient_default",1,"fixed_folds_seeded_forests",6089,185,5904,19,5,6,1000,0.5,1483.57684760631,599.746450528431,308.073804570586,2659.07989064204
"CPS",1,"quotient_fixed_mtry",1,"fixed_folds_seeded_forests",6089,185,5904,19,5,8,1000,0.5,1621.49884287161,607.503000522684,430.792961847152,2812.20472389607
"CPS",2,"published_full",1,"fixed_folds_seeded_forests",6089,185,5904,30,0,10,1000,0.5,1566.18753673617,618.259686366167,354.398551458487,2777.97652201386
"CPS",2,"quotient_default",1,"fixed_folds_seeded_forests",6089,185,5904,25,5,8,1000,0.5,1505.08060643846,605.653192175795,318.000349773903,2692.16086310302
"CPS",2,"quotient_fixed_mtry",1,"fixed_folds_seeded_forests",6089,185,5904,25,5,10,1000,0.5,1569.97640315702,608.545735744534,377.226761097734,2762.72604521631
