"dataset","specification","variant","seed","rng_scheme","observations","treated","controls","dictionary_columns","removed_columns","mtry","ntree","c_rr","atet","se","ci_low","ci_high"
"NSW",1,"published_full",1,"fixed_folds_seeded_forests",357,185,172,24,0,8,1000,0.5,3013.58241515023,1277.85982530183,508.977157558637,5518.18767274183
"NSW",1,"published_full",2,"fixed_folds_seeded_forests",357,185,172,24,0,8,1000,0.5,3099.9820700023,1303.92430470196,544.290432786448,5655.67370721815
"NSW",1,"published_full",3,"fixed_folds_seeded_forests",357,185,172,24,0,8,1000,0.5,3075.88340748334,1303.8441196141,520.348933039715,5631.41788192697
"NSW",1,"published_full",4,"fixed_folds_seeded_forests",357,185,172,24,0,8,1000,0.5,2997.29327031673,1251.35199133453,544.643367301059,5449.9431733324
"NSW",1,"published_full",5,"fixed_folds_seeded_forests",357,185,172,24,0,8,1000,0.5,3023.61020774438,1271.52686724791,531.417547938481,5515.80286755028
"PSID",1,"published_full",1,"fixed_folds_seeded_forests",912,185,727,24,0,8,1000,0.5,1469.0165157644,975.620084345689,-443.19884955315,3381.23188108195
"PSID",1,"published_full",2,"fixed_folds_seeded_forests",912,185,727,24,0,8,1000,0.5,1516.83795116024,973.719877687476,-391.653009107217,3425.32891142769
"PSID",1,"published_full",3,"fixed_folds_seeded_forests",912,185,727,24,0,8,1000,0.5,1466.29158267636,974.458606661735,-443.647286380637,3376.23045173336
"PSID",1,"published_full",4,"fixed_folds_seeded_forests",912,185,727,24,0,8,1000,0.5,1502.83107518953,965.609690266894,-389.763917733579,3395.42606811264
"PSID",1,"published_full",5,"fixed_folds_seeded_forests",912,185,727,24,0,8,1000,0.5,1530.45393518077,970.610531251197,-371.942706071575,3432.85057643312
"CPS",1,"published_full",1,"fixed_folds_seeded_forests",6089,185,5904,24,0,8,1000,0.5,1636.21708747709,616.272504323344,428.322979003334,2844.11119595084
"CPS",1,"published_full",2,"fixed_folds_seeded_forests",6089,185,5904,24,0,8,1000,0.5,1658.68916538725,616.537890786611,450.274899445494,2867.10343132901
"CPS",1,"published_full",3,"fixed_folds_seeded_forests",6089,185,5904,24,0,8,1000,0.5,1659.82871167857,615.119656310807,454.194185309385,2865.46323804775
"CPS",1,"published_full",4,"fixed_folds_seeded_forests",6089,185,5904,24,0,8,1000,0.5,1666.60304476499,613.993103010256,463.176562864889,2870.02952666509
"CPS",1,"published_full",5,"fixed_folds_seeded_forests",6089,185,5904,24,0,8,1000,0.5,1649.07397735123,616.232000128579,441.259257099211,2856.88869760324
"NSW",2,"published_full",1,"fixed_folds_seeded_forests",357,185,172,30,0,10,1000,0.5,3207.00507887773,1364.92110873035,531.759705766245,5882.25045198921
"NSW",2,"published_full",2,"fixed_folds_seeded_forests",357,185,172,30,0,10,1000,0.5,2972.34480871424,1238.5524876699,544.781932881231,5399.90768454725
"NSW",2,"published_full",3,"fixed_folds_seeded_forests",357,185,172,30,0,10,1000,0.5,3042.42348582061,1289.95042295137,514.120656835914,5570.7263148053
"NSW",2,"published_full",4,"fixed_folds_seeded_forests",357,185,172,30,0,10,1000,0.5,3017.53442623557,1267.17281884383,533.87570130166,5501.19315116948
"NSW",2,"published_full",5,"fixed_folds_seeded_forests",357,185,172,30,0,10,1000,0.5,3091.46820214015,1321.65480326847,501.024787733962,5681.91161654634
"PSID",2,"published_full",1,"fixed_folds_seeded_forests",912,185,727,30,0,10,1000,0.5,1381.08845554732,949.049376677046,-479.048322739686,3241.22523383433
"PSID",2,"published_full",2,"fixed_folds_seeded_forests",912,185,727,30,0,10,1000,0.5,1343.58432250125,950.961684641435,-520.300579395961,3207.46922439846
"PSID",2,"published_full",3,"fixed_folds_seeded_forests",912,185,727,30,0,10,1000,0.5,1361.34488839127,949.448348098977,-499.573873882728,3222.26365066526
"PSID",2,"published_full",4,"fixed_folds_seeded_forests",912,185,727,30,0,10,1000,0.5,1318.80894548933,953.317815759625,-549.693973399535,3187.31186437819
"PSID",2,"published_full",5,"fixed_folds_seeded_forests",912,185,727,30,0,10,1000,0.5,1316.24758291885,947.846892802478,-541.532326974007,3174.02749281171
"CPS",2,"published_full",1,"fixed_folds_seeded_forests",6089,185,5904,30,0,10,1000,0.5,1566.18753673617,618.259686366167,354.398551458487,2777.97652201386
"CPS",2,"published_full",2,"fixed_folds_seeded_forests",6089,185,5904,30,0,10,1000,0.5,1566.23832805098,617.648514307895,355.647240007504,2776.82941609445
"CPS",2,"published_full",3,"fixed_folds_seeded_forests",6089,185,5904,30,0,10,1000,0.5,1568.81384608307,617.252903925788,358.998154388526,2778.62953777762
"CPS",2,"published_full",4,"fixed_folds_seeded_forests",6089,185,5904,30,0,10,1000,0.5,1586.17990971207,617.110018748622,376.644272964772,2795.71554645937
"CPS",2,"published_full",5,"fixed_folds_seeded_forests",6089,185,5904,30,0,10,1000,0.5,1583.82841033403,617.237656700168,374.042603201698,2793.61421746636
