"dataset","specification","reference_seed","comparison_seed","subset","observations","atet_difference","se_difference","gamma0_rmse","gamma1_rmse","contrast_rmse","contrast_correlation","contrast_sign_disagreement"
"NSW",1,1,2,"all",357,86.3996548520649,26.0644794001298,161.630773743569,265.060067558523,292.56217617552,0.99630256440895,0.0168067226890756
"NSW",1,1,2,"treated",185,86.3996548520649,26.0644794001298,164.134312332218,298.967592143061,324.858878248204,0.995326871032277,0.0216216216216216
"NSW",1,1,3,"all",357,62.3009923331124,25.9842943122624,174.684387491337,259.896983474038,296.135557888308,0.996222968691259,0.0280112044817927
"NSW",1,1,3,"treated",185,62.3009923331124,25.9842943122624,179.387338772484,273.426805128512,326.123083502993,0.995296340159697,0.0432432432432432
"NSW",1,1,4,"all",357,-16.2891448335031,-26.5078339673089,172.213515744902,219.103928273181,248.444964998606,0.99734524261765,0.0112044817927171
"NSW",1,1,4,"treated",185,-16.2891448335031,-26.5078339673089,188.126476641057,226.526864278334,270.136797928801,0.996774540608662,0.0108108108108108
"NSW",1,1,5,"all",357,10.02779259415,-6.33295805392572,174.035827608225,251.531379000022,271.448344541849,0.99682561999465,0.0140056022408964
"NSW",1,1,5,"treated",185,10.02779259415,-6.33295805392572,184.673134401087,277.600457661339,303.575271665407,0.99591160140429,0.0216216216216216
"PSID",1,1,2,"all",912,47.8214353958351,-1.90020665821316,301.923514948912,364.290711286879,301.821652999305,0.996336826394769,0.0087719298245614
"PSID",1,1,2,"treated",185,47.8214353958351,-1.90020665821316,264.692027674221,335.445303903318,371.226626876546,0.995427423398368,0.0108108108108108
"PSID",1,1,3,"all",912,-2.72493308803814,-1.16147768395467,299.09762256094,354.783997796237,282.614347196542,0.996806795482892,0.0120614035087719
"PSID",1,1,3,"treated",185,-2.72493308803814,-1.16147768395467,235.628131293096,267.676156398312,332.804804730881,0.996394842619718,0.0216216216216216
"PSID",1,1,4,"all",912,33.8145594251316,-10.0103940787953,299.817745317436,364.941930742643,340.307774191012,0.9953736097304,0.018640350877193
"PSID",1,1,4,"treated",185,33.8145594251316,-10.0103940787953,258.460004233866,277.259103132754,343.238149701843,0.996151440511696,0.0324324324324324
"PSID",1,1,5,"all",912,61.4374194163711,-5.00955309449182,333.120658349258,401.051519469118,320.529982613761,0.995932489849964,0.0109649122807018
"PSID",1,1,5,"treated",185,61.4374194163711,-5.00955309449182,220.113328274191,271.933200254805,328.719777351565,0.996481060178817,0.0162162162162162
"CPS",1,1,2,"all",6089,22.4720779101633,0.265386463266964,236.730864439937,300.662347561284,256.166873420296,0.99630939739025,0.0449991788471013
"CPS",1,1,2,"treated",185,22.4720779101633,0.265386463266964,244.728821817741,319.708301490024,305.87038704967,0.996758772965806,0.0216216216216216
"CPS",1,1,3,"all",6089,23.611624201478,-1.15284801253688,236.950273639295,314.655745621255,273.816578098144,0.995780234015182,0.0389226473969453
"CPS",1,1,3,"treated",185,23.611624201478,-1.15284801253688,230.82297374194,339.893609294984,350.350937847911,0.995850960896671,0.0108108108108108
"CPS",1,1,4,"all",6089,30.3859572879019,-2.27940131308833,238.462734509464,306.671492608985,259.182222477736,0.996239333986792,0.0454918705863032
"CPS",1,1,4,"treated",185,30.3859572879019,-2.27940131308833,229.981353690767,315.012170267424,290.606210815445,0.997118113567426,0.027027027027027
"CPS",1,1,5,"all",6089,12.8568898741378,-0.0405041947649352,236.452768456197,300.114302997404,254.607158837237,0.996375828712188,0.0458203317457711
"CPS",1,1,5,"treated",185,12.8568898741378,-0.0405041947649352,203.805733441277,261.87595710824,265.770681300201,0.99754806559063,0.0108108108108108
"NSW",2,1,2,"all",357,-234.660270163486,-126.368621060445,157.387597671724,218.776981000138,252.493504278165,0.997323346067785,0.0196078431372549
"NSW",2,1,2,"treated",185,-234.660270163486,-126.368621060445,149.845588625287,228.43486067369,259.083177707804,0.997091871256667,0.027027027027027
"NSW",2,1,3,"all",357,-164.581593057118,-74.9706857789727,158.279167152235,241.878937096682,265.34777673169,0.996988316496853,0.0280112044817927
"NSW",2,1,3,"treated",185,-164.581593057118,-74.9706857789727,161.792341221409,267.062301036784,290.292979692584,0.996342381033101,0.0324324324324324
"NSW",2,1,4,"all",357,-189.470652642155,-97.7482898865151,160.724454205433,256.707444073897,292.045536918752,0.996364142666555,0.0224089635854342
"NSW",2,1,4,"treated",185,-189.470652642155,-97.7482898865151,171.320649172945,292.81588805786,313.29444870211,0.995708678531785,0.0324324324324324
"NSW",2,1,5,"all",357,-115.536876737573,-43.2663054618824,155.254362829286,229.590333127069,269.071654544023,0.996902527853639,0.0168067226890756
"NSW",2,1,5,"treated",185,-115.536876737573,-43.2663054618824,162.990943229268,243.03668835794,277.13837486943,0.99666263346305,0.0216216216216216
"PSID",2,1,2,"all",912,-37.5041330460729,1.91230796438879,316.020649073663,363.717424422262,305.588589875853,0.996387700920698,0.018640350877193
"PSID",2,1,2,"treated",185,-37.5041330460729,1.91230796438879,266.391005888328,317.7157066764,374.650488583424,0.995703351291605,0.0324324324324324
"PSID",2,1,3,"all",912,-19.7435671560563,0.398971421931265,291.407072780619,349.091349067317,295.002652764903,0.996628481053302,0.0164473684210526
"PSID",2,1,3,"treated",185,-19.7435671560563,0.398971421931265,201.221502833857,309.10943458862,340.400365944262,0.996381522667643,0.0324324324324324
"PSID",2,1,4,"all",912,-62.2795100579942,4.26843908257877,320.600754304057,353.75874427149,277.394343947276,0.996975670234057,0.0153508771929825
"PSID",2,1,4,"treated",185,-62.2795100579942,4.26843908257877,256.747093497382,283.049827092999,341.211543807493,0.9964208597854,0.0432432432432432
"PSID",2,1,5,"all",912,-64.8408726284742,-1.20248387456832,290.950717886022,364.020244273105,328.608520195917,0.995908685925959,0.0175438596491228
"PSID",2,1,5,"treated",185,-64.8408726284742,-1.20248387456832,250.147456028266,305.097006421153,388.716260495659,0.995503890280434,0.0324324324324324
"CPS",2,1,2,"all",6089,0.050791314805565,-0.61117205827145,243.358507355415,302.77604613778,247.500356977237,0.996630776188528,0.0448349482673674
"CPS",2,1,2,"treated",185,0.050791314805565,-0.61117205827145,198.652524985506,297.985882646729,279.785535940733,0.997336026230915,0.0216216216216216
"CPS",2,1,3,"all",6089,2.62630934689741,-1.00678244037863,240.076577003781,309.355202811319,256.896373819468,0.996409262571669,0.0464772540647068
"CPS",2,1,3,"treated",185,2.62630934689741,-1.00678244037863,218.76896707323,277.813674351667,282.74994405529,0.997287680680739,0.0324324324324324
"CPS",2,1,4,"all",6089,19.992372975898,-1.14966761754465,236.829647512855,311.724674829819,256.092358592856,0.996397786629633,0.0440137953686977
"CPS",2,1,4,"treated",185,19.992372975898,-1.14966761754465,228.955305306489,314.713167797546,299.523526151658,0.996913963119629,0.0432432432432432
"CPS",2,1,5,"all",6089,17.6408735978532,-1.02202966599873,241.336679307894,314.347640719027,262.228605929008,0.996266941233594,0.0492691739201839
"CPS",2,1,5,"treated",185,17.6408735978532,-1.02202966599873,214.403837273934,368.459845024701,367.789929091129,0.995472039440232,0.0324324324324324
