"scenario","method","seed","n","clusters","raw_dimension","fitted_dimension","semantic_dimension","mtry","budget_share","cate_correlation","cate_rank_correlation","top_set_overlap","assignment_switching","pseudo_policy_value","pseudo_policy_value_se","pseudo_policy_value_difference","pseudo_policy_value_difference_se"
"canonical","ordinary",20260808,4765,653,16,16,NA,16,0.5,1,1,1,0,30.8964266849921,13.5214451570931,0,0
"canonical","exact_deduplication",20260808,4765,653,16,16,NA,16,0.5,1,1,1,0,30.8964266849921,13.5214451570931,0,0
"canonical","dimension_adjusted_mtry",20260808,4765,653,16,16,NA,16,0.5,1,1,1,0,30.8964266849921,13.5214451570931,0,0
"canonical","class_sampled",20260808,4765,653,16,16,16,16,0.5,1,1,1,0,33.2219269601289,13.4296952162071,0,0
"administrative_aliases","ordinary",20260808,4765,653,20,20,NA,16,0.5,0.983195675173622,0.981282728854658,0.885239414325287,0.0608604407135362,27.3481731783259,13.7961177432383,-3.54825350666627,4.45175060281979
"administrative_aliases","exact_deduplication",20260808,4765,653,20,16,NA,16,0.5,1,1,1,0,30.8964266849921,13.5214451570931,0,0
"administrative_aliases","dimension_adjusted_mtry",20260808,4765,653,20,20,NA,20,0.5,0.986000825120343,0.98407316594969,0.898764447987246,0.053305351521511,31.0553120847482,13.6637146061806,0.158885399756046,3.6448142253873
"administrative_aliases","class_sampled",20260808,4765,653,20,16,16,16,0.5,1,1,1,0,33.2219269601289,13.4296952162071,0,0
"unit_recodings","ordinary",20260808,4765,653,19,19,NA,16,0.5,0.984310620385646,0.982432927290532,0.889726299087664,0.0583420776495278,33.5458146199783,13.8691319526588,2.64938793498624,3.88371121794788
"unit_recodings","exact_deduplication",20260808,4765,653,19,19,NA,16,0.5,0.984310620385646,0.982432927290532,0.889726299087664,0.0583420776495278,33.5458146199783,13.8691319526588,2.64938793498624,3.88371121794788
"unit_recodings","dimension_adjusted_mtry",20260808,4765,653,19,19,NA,19,0.5,0.98537503861805,0.98354765425876,0.886732673267327,0.0600209863588667,27.2660216801011,13.8327791598109,-3.63040500489101,4.09148312504341
"unit_recodings","class_sampled",20260808,4765,653,19,16,16,16,0.5,1,1,1,0,33.2219269601289,13.4296952162071,0,0
"complements","ordinary",20260808,4765,653,19,19,NA,16,0.5,0.983747237475329,0.981309126873367,0.882259976293955,0.0625393494228751,33.0515511970587,13.6403403969348,2.15512451206666,4.43137018583887
"complements","exact_deduplication",20260808,4765,653,19,19,NA,16,0.5,0.983747237475329,0.981309126873367,0.882259976293955,0.0625393494228751,33.0515511970587,13.6403403969348,2.15512451206666,4.43137018583887
"complements","dimension_adjusted_mtry",20260808,4765,653,19,19,NA,19,0.5,0.985494792674838,0.983850831678702,0.891977760127085,0.0570828961175236,26.8328414426699,13.7642955001495,-4.06358524232222,4.28241005794928
"complements","class_sampled",20260808,4765,653,19,16,16,16,0.5,1,1,1,0,33.2219269601289,13.4296952162071,0,0
"raw_log_rank","ordinary",20260808,4765,653,22,22,NA,16,0.5,0.980502285749447,0.978480809224314,0.878548895899054,0.0646379853095488,30.3834037982669,13.6268708110854,-0.513022886725264,4.47140252582511
"raw_log_rank","exact_deduplication",20260808,4765,653,22,22,NA,16,0.5,0.980502285749447,0.978480809224314,0.878548895899054,0.0646379853095488,30.3834037982669,13.6268708110854,-0.513022886725264,4.47140252582511
"raw_log_rank","dimension_adjusted_mtry",20260808,4765,653,22,22,NA,22,0.5,0.986625722164938,0.984569690186806,0.887480190174326,0.059601259181532,30.9760515170171,13.4831578125743,0.0796248320249438,5.05708338111337
"raw_log_rank","class_sampled",20260808,4765,653,22,16,16,16,0.5,1,1,1,0,33.2219269601289,13.4296952162071,0,0
"routine_bundle","ordinary",20260808,4765,653,32,32,NA,16,0.5,0.971167775833238,0.968205229402796,0.8609375,0.0747114375655824,32.8460630929808,13.9255394913942,1.94963640798871,4.44441749901606
