"scenario","kind","seed","n","clusters","p","mtry","budget_share","cate_correlation","cate_rank_correlation","top_set_overlap","assignment_switching","policy_value","policy_value_se","policy_value_difference","policy_value_difference_se"
"baseline","baseline",20260806,4765,653,16,16,0.5,1,1,1,0,31.419033545067,13.8229852789137,0,0
"baseline_seed_2","baseline",20260807,4765,653,16,16,0.5,0.9999785390897,0.999972111719573,0.995810640971931,0.00209863588667366,31.623917976328,13.7914869159389,0.204884431260945,0.547559399528199
"baseline_seed_3","baseline",20260808,4765,653,16,16,0.5,0.999958168384833,0.999945074272552,0.992471769134254,0.00377754459601259,31.7194920754292,13.7770061677831,0.300458530362176,0.750040059163216
"baseline_seed_4","baseline",20260809,4765,653,16,16,0.5,0.99993606501553,0.99992047741193,0.989144050104384,0.00545645330535152,31.762614242283,13.7529423020603,0.343580697215978,0.996842607679903
"clone_hh_size_002","clone",20260806,4765,653,17,16,0.5,0.985680924916856,0.983849676382031,0.900279218189071,0.0524658971668416,26.8741349638914,13.6566809576877,-4.54489858117561,3.96695450701366
"clone_hh_size_004","clone",20260806,4765,653,19,16,0.5,0.982595738472054,0.980187625625238,0.883748517200475,0.0616998950682057,29.808276259937,13.7389804317212,-1.61075728512998,4.63102914761413
"clone_hh_size_008","clone",20260806,4765,653,23,16,0.5,0.975233977633365,0.972550101308765,0.876329263489563,0.065897166841553,34.058358933186,13.6358011672309,2.63932538811895,4.09899356026092
"clone_hh_size_016","clone",20260806,4765,653,31,16,0.5,0.954312420236351,0.949012957964845,0.831603229527105,0.0919202518363064,37.2065359712434,14.0165325016239,5.7875024261764,5.98633730229223
"clone_hh_size_032","clone",20260806,4765,653,47,16,0.5,0.911502664313851,0.902413386738408,0.773641102010424,0.127597061909759,37.6298359824927,14.2377924384818,6.21080243742567,6.94671333779258
"clone_hh_size_064","clone",20260806,4765,653,79,16,0.5,0.845061906400689,0.832381799062947,0.713669064748201,0.167051416579224,42.816262182605,13.8763913663648,11.397228637538,8.40910485725962
"clone_hh_size_128","clone",20260806,4765,653,143,16,0.5,0.752860927313375,0.750704557524744,0.648442906574395,0.213221406086044,41.8010677019248,14.440429977145,10.3820341568578,10.0090514577929
"clone_female_head_128","clone",20260806,4765,653,143,16,0.5,0.728426483286652,0.693112922560315,0.597585513078471,0.251836306400839,25.4455955502413,15.4098557431119,-5.97343799482571,11.2668151055925
"clone_employed_128","clone",20260806,4765,653,143,16,0.5,0.837007339632069,0.82387396900122,0.68936170212766,0.183840503672613,12.622359860265,13.7696563549262,-18.7966736848021,8.33319465706334
"clone_owns_land_128","clone",20260806,4765,653,143,16,0.5,0.725242772699969,0.837987102187446,0.725461789206809,0.159076600209864,23.8365503696125,13.9677174993801,-7.58248317545452,8.30528783085976
"clone_owns_radio_tv_128","clone",20260806,4765,653,143,16,0.5,0.831484674762802,0.828052937788305,0.698395721925134,0.177544596012592,22.2860488512019,14.3247100269389,-9.13298469386518,8.11175304658006
"clone_protein_meals_128","clone",20260806,4765,653,143,16,0.5,0.67540606989602,0.710547476774423,0.623721881390593,0.231689401888772,47.1671527562372,14.0553755827815,15.7481192111702,8.27013169903535
"routine_raw_log_rank","monotone",20260806,4765,653,22,16,0.5,0.980470298868768,0.978372937390671,0.877068557919622,0.0654774396642183,29.2058060568876,13.6219813617381,-2.21322748817944,4.29539297061565
"balanced_clone_008","balanced",20260806,4765,653,128,16,0.5,0.982495045718281,0.980476276542719,0.874852420306966,0.0667366211962225,26.5871276454753,13.8057307199613,-4.83190589959183,4.55500507198793
