replication,dimension,raw_dimension,actual_mtry,method,metric,value
1,40,48,27,ordinary_default,cate_correlation,0.993786506659164
1,40,48,27,ordinary_default,cate_rank_correlation,0.990705853111451
1,40,48,27,ordinary_default,sign_reversal,0.110433333333333
1,40,48,27,ordinary_default,strong_reversal_010,0
1,40,48,27,ordinary_default,strong_reversal_025,0
1,40,48,27,ordinary_default,reversal_given_true_margin_025,0.00250089317613433
1,40,48,27,ordinary_default,x1_wrong_sign_true_margin_025,0.000446588067166845
1,40,48,27,ordinary_default,x2_wrong_sign_true_margin_025,0.00294748124330118
1,40,48,27,ordinary_default,mean_absolute_prediction_change,0.0699372677088334
1,100,108,31,ordinary_default,cate_correlation,0.929642205727149
1,100,108,31,ordinary_default,cate_rank_correlation,0.849492361146103
1,100,108,31,ordinary_default,sign_reversal,0.2406
1,100,108,31,ordinary_default,strong_reversal_010,0.189233333333333
1,100,108,31,ordinary_default,strong_reversal_025,0
1,100,108,31,ordinary_default,reversal_given_true_margin_025,0.00978027867095391
1,100,108,31,ordinary_default,x1_wrong_sign_true_margin_025,0.000133976420150054
1,100,108,31,ordinary_default,x2_wrong_sign_true_margin_025,0.00964630225080386
1,100,108,31,ordinary_default,mean_absolute_prediction_change,0.198744924130662
1,250,258,37,ordinary_default,cate_correlation,0.744790849086475
1,250,258,37,ordinary_default,cate_rank_correlation,0.793167492527075
1,250,258,37,ordinary_default,sign_reversal,0.3519
1,250,258,37,ordinary_default,strong_reversal_010,0.2452
1,250,258,37,ordinary_default,strong_reversal_025,0.0318
1,250,258,37,ordinary_default,reversal_given_true_margin_025,0.14951768488746
1,250,258,37,ordinary_default,x1_wrong_sign_true_margin_025,0.000223294033583423
1,250,258,37,ordinary_default,x2_wrong_sign_true_margin_025,0.149294390853876
1,250,258,37,ordinary_default,mean_absolute_prediction_change,0.329142108730814
1,500,508,43,ordinary_default,cate_correlation,0.566717456794598
1,500,508,43,ordinary_default,cate_rank_correlation,0.775408409666009
1,500,508,43,ordinary_default,sign_reversal,0.486833333333333
1,500,508,43,ordinary_default,strong_reversal_010,0.2704
1,500,508,43,ordinary_default,strong_reversal_025,0.1293
1,500,508,43,ordinary_default,reversal_given_true_margin_025,0.32596463022508
1,500,508,43,ordinary_default,x1_wrong_sign_true_margin_025,0.000267952840300107
1,500,508,43,ordinary_default,x2_wrong_sign_true_margin_025,0.32569667738478
1,500,508,43,ordinary_default,mean_absolute_prediction_change,0.400587449163619
1,500,508,43,class_sampled_default,cate_correlation,1
1,500,508,43,class_sampled_default,cate_rank_correlation,1
1,500,508,43,class_sampled_default,sign_reversal,0
1,500,508,43,class_sampled_default,strong_reversal_010,0
1,500,508,43,class_sampled_default,strong_reversal_025,0
1,500,508,43,class_sampled_default,reversal_given_true_margin_025,0
1,500,508,43,class_sampled_default,x1_wrong_sign_true_margin_025,0.000580564487316899
1,500,508,43,class_sampled_default,x2_wrong_sign_true_margin_025,0.000580564487316899
1,500,508,43,class_sampled_default,mean_absolute_prediction_change,0
2,40,48,27,ordinary_default,cate_correlation,0.991092218105202
2,40,48,27,ordinary_default,cate_rank_correlation,0.993117910534575
2,40,48,27,ordinary_default,sign_reversal,0.0708666666666667
2,40,48,27,ordinary_default,strong_reversal_010,1e-04
2,40,48,27,ordinary_default,strong_reversal_025,0
2,40,48,27,ordinary_default,reversal_given_true_margin_025,0.000222637812806127
2,40,48,27,ordinary_default,x1_wrong_sign_true_margin_025,0.000712441000979606
2,40,48,27,ordinary_default,x2_wrong_sign_true_margin_025,0.000846023688663283
2,40,48,27,ordinary_default,mean_absolute_prediction_change,0.0802273692123135
2,100,108,31,ordinary_default,cate_correlation,0.921801190427806
2,100,108,31,ordinary_default,cate_rank_correlation,0.87067628244164
2,100,108,31,ordinary_default,sign_reversal,0.2379
2,100,108,31,ordinary_default,strong_reversal_010,0.1129
2,100,108,31,ordinary_default,strong_reversal_025,0
2,100,108,31,ordinary_default,reversal_given_true_margin_025,0.00160299225220411
2,100,108,31,ordinary_default,x1_wrong_sign_true_margin_025,0.00111318906403064
2,100,108,31,ordinary_default,x2_wrong_sign_true_margin_025,0.00173657493988779
2,100,108,31,ordinary_default,mean_absolute_prediction_change,0.192035278939353
2,250,258,37,ordinary_default,cate_correlation,0.724253774806542
2,250,258,37,ordinary_default,cate_rank_correlation,0.801952146563947
2,250,258,37,ordinary_default,sign_reversal,0.319333333333333
2,250,258,37,ordinary_default,strong_reversal_010,0.239566666666667
2,250,258,37,ordinary_default,strong_reversal_025,0.0373666666666667
2,250,258,37,ordinary_default,reversal_given_true_margin_025,0.100498708700686
2,250,258,37,ordinary_default,x1_wrong_sign_true_margin_025,0.00342862231721436
2,250,258,37,ordinary_default,x2_wrong_sign_true_margin_025,0.0974263068839612
2,250,258,37,ordinary_default,mean_absolute_prediction_change,0.315541017652068
2,500,508,43,ordinary_default,cate_correlation,0.566485772585656
2,500,508,43,ordinary_default,cate_rank_correlation,0.784341863234158
2,500,508,43,ordinary_default,sign_reversal,0.446433333333333
2,500,508,43,ordinary_default,strong_reversal_010,0.251766666666667
2,500,508,43,ordinary_default,strong_reversal_025,0.0763333333333333
2,500,508,43,ordinary_default,reversal_given_true_margin_025,0.269926084246148
2,500,508,43,ordinary_default,x1_wrong_sign_true_margin_025,0.00391842550538784
2,500,508,43,ordinary_default,x2_wrong_sign_true_margin_025,0.266452934366373
2,500,508,43,ordinary_default,mean_absolute_prediction_change,0.371776312415339
2,500,508,43,class_sampled_default,cate_correlation,1
2,500,508,43,class_sampled_default,cate_rank_correlation,1
2,500,508,43,class_sampled_default,sign_reversal,0
2,500,508,43,class_sampled_default,strong_reversal_010,0
2,500,508,43,class_sampled_default,strong_reversal_025,0
2,500,508,43,class_sampled_default,reversal_given_true_margin_025,0
2,500,508,43,class_sampled_default,x1_wrong_sign_true_margin_025,0.00948437082554101
2,500,508,43,class_sampled_default,x2_wrong_sign_true_margin_025,0.00948437082554101
2,500,508,43,class_sampled_default,mean_absolute_prediction_change,0
3,40,48,27,ordinary_default,cate_correlation,0.992841586333019
3,40,48,27,ordinary_default,cate_rank_correlation,0.984689867418989
3,40,48,27,ordinary_default,sign_reversal,0.0175333333333333
3,40,48,27,ordinary_default,strong_reversal_010,0
3,40,48,27,ordinary_default,strong_reversal_025,0
3,40,48,27,ordinary_default,reversal_given_true_margin_025,0.00106690375639031
3,40,48,27,ordinary_default,x1_wrong_sign_true_margin_025,0.0015114469882196
3,40,48,27,ordinary_default,x2_wrong_sign_true_margin_025,0.00257835074460991
3,40,48,27,ordinary_default,mean_absolute_prediction_change,0.0744239674971063
3,100,108,31,ordinary_default,cate_correlation,0.926585147183703
3,100,108,31,ordinary_default,cate_rank_correlation,0.819403608076671
3,100,108,31,ordinary_default,sign_reversal,0.2165
3,100,108,31,ordinary_default,strong_reversal_010,0.0169333333333333
3,100,108,31,ordinary_default,strong_reversal_025,0
3,100,108,31,ordinary_default,reversal_given_true_margin_025,0.00675705712380529
3,100,108,31,ordinary_default,x1_wrong_sign_true_margin_025,0.00111135807957324
