dimension,method,metric,replications,mean,sd,se_mean
40,ordinary_default,cate_correlation,100,0.9927811444680807,0.0011067624073873162,0.00011067624073873162
40,ordinary_default,cate_rank_correlation,100,0.971008768359512,0.03528544255390027,0.0035285442553900275
40,ordinary_default,sign_reversal,100,0.08810133333333335,0.06599304522755627,0.006599304522755626
40,ordinary_default,strong_reversal_010,100,0.00019933333333333332,0.00028351568701069223,2.835156870106922e-05
40,ordinary_default,strong_reversal_025,100,0.0,0.0,0.0
40,ordinary_default,reversal_given_true_margin_025,100,0.006782239321443157,0.02124317870696823,0.002124317870696823
40,ordinary_default,x1_wrong_sign_true_margin_025,100,0.003918902797675345,0.004855981283147993,0.00048559812831479933
40,ordinary_default,x2_wrong_sign_true_margin_025,100,0.010366096344028958,0.02476726754986951,0.002476726754986951
40,ordinary_default,mean_absolute_prediction_change,100,0.07630163614337641,0.0055451531420693916,0.0005545153142069391
100,ordinary_default,cate_correlation,100,0.9276172652016706,0.007164661210620815,0.0007164661210620815
100,ordinary_default,cate_rank_correlation,100,0.8533577974097486,0.05295841437764373,0.005295841437764373
100,ordinary_default,sign_reversal,100,0.23405600000000001,0.06638254251057539,0.006638254251057539
100,ordinary_default,strong_reversal_010,100,0.12702633333333332,0.08307140766866704,0.008307140766866703
100,ordinary_default,strong_reversal_025,100,1.0333333333333335e-05,3.691072738019573e-05,3.6910727380195734e-06
100,ordinary_default,reversal_given_true_margin_025,100,0.036912271663722754,0.06633466481903552,0.006633466481903552
100,ordinary_default,x1_wrong_sign_true_margin_025,100,0.00244984747643705,0.0026347873644999896,0.00026347873644999895
100,ordinary_default,x2_wrong_sign_true_margin_025,100,0.038099797036092495,0.06685007131226371,0.0066850071312263715
100,ordinary_default,mean_absolute_prediction_change,100,0.20152398772245658,0.007648521062841641,0.0007648521062841641
250,ordinary_default,cate_correlation,100,0.737721593088435,0.017465515100930716,0.0017465515100930716
250,ordinary_default,cate_rank_correlation,100,0.7927363946536004,0.007527451676279652,0.0007527451676279652
250,ordinary_default,sign_reversal,100,0.3860323333333333,0.08422075349256396,0.008422075349256396
250,ordinary_default,strong_reversal_010,100,0.2686746666666667,0.072889379482212,0.0072889379482212
250,ordinary_default,strong_reversal_025,100,0.0849796666666667,0.08617402483675497,0.008617402483675497
250,ordinary_default,reversal_given_true_margin_025,100,0.19237370198332568,0.11408637314908138,0.011408637314908137
250,ordinary_default,x1_wrong_sign_true_margin_025,100,0.0022915703879190117,0.0021026669639787944,0.00021026669639787944
250,ordinary_default,x2_wrong_sign_true_margin_025,100,0.1918535192447409,0.11385437196754589,0.011385437196754588
250,ordinary_default,mean_absolute_prediction_change,100,0.3275974561669604,0.01226883334324212,0.001226883334324212
500,ordinary_default,cate_correlation,100,0.571446386127737,0.02096354207473063,0.002096354207473063
500,ordinary_default,cate_rank_correlation,100,0.7770116749868397,0.007586230950256158,0.0007586230950256158
500,ordinary_default,sign_reversal,100,0.45743633333333333,0.054376990804532656,0.005437699080453265
500,ordinary_default,strong_reversal_010,100,0.3288243333333334,0.09090227246489338,0.009090227246489339
500,ordinary_default,strong_reversal_025,100,0.12493499999999998,0.09330429242456362,0.009330429242456362
500,ordinary_default,reversal_given_true_margin_025,100,0.28511063290439587,0.07345732613742965,0.007345732613742965
500,ordinary_default,x1_wrong_sign_true_margin_025,100,0.002602900886777027,0.0023920110271355784,0.00023920110271355785
500,ordinary_default,x2_wrong_sign_true_margin_025,100,0.28358303931623624,0.07333222425982085,0.007333222425982085
500,ordinary_default,mean_absolute_prediction_change,100,0.38897959471742855,0.019596466249710058,0.0019596466249710057
500,class_sampled_default,cate_correlation,100,1.0,0.0,0.0
500,class_sampled_default,cate_rank_correlation,100,1.0,0.0,0.0
500,class_sampled_default,sign_reversal,100,0.0,0.0,0.0
500,class_sampled_default,strong_reversal_010,100,0.0,0.0,0.0
500,class_sampled_default,strong_reversal_025,100,0.0,0.0,0.0
500,class_sampled_default,reversal_given_true_margin_025,100,0.0,0.0,0.0
500,class_sampled_default,x1_wrong_sign_true_margin_025,100,0.006281949421067809,0.005658513091470781,0.0005658513091470781
500,class_sampled_default,x2_wrong_sign_true_margin_025,100,0.006281949421067809,0.005658513091470781,0.0005658513091470781
500,class_sampled_default,mean_absolute_prediction_change,100,0.0,0.0,0.0
