"replication","dimension","raw_dimension","actual_mtry","method","metric","value"
1,40,48,27,"ordinary_default","cate_correlation",0.993742706577043
1,40,48,27,"ordinary_default","cate_rank_correlation",0.990816056993351
1,40,48,27,"ordinary_default","sign_reversal",0.1112
1,40,48,27,"ordinary_default","strong_reversal_010",0
1,40,48,27,"ordinary_default","strong_reversal_025",0
1,40,48,27,"ordinary_default","reversal_given_true_margin_025",0.00263486959628439
1,40,48,27,"ordinary_default","x1_wrong_sign_true_margin_025",0.000446588067166845
1,40,48,27,"ordinary_default","x2_wrong_sign_true_margin_025",0.00308145766345123
1,40,48,27,"ordinary_default","mean_absolute_prediction_change",0.0704891551738182
1,100,108,31,"ordinary_default","cate_correlation",0.929542883316109
1,100,108,31,"ordinary_default","cate_rank_correlation",0.849931589278146
1,100,108,31,"ordinary_default","sign_reversal",0.2403
1,100,108,31,"ordinary_default","strong_reversal_010",0.188366666666667
1,100,108,31,"ordinary_default","strong_reversal_025",0
1,100,108,31,"ordinary_default","reversal_given_true_margin_025",0.00937834941050375
1,100,108,31,"ordinary_default","x1_wrong_sign_true_margin_025",0.000133976420150054
1,100,108,31,"ordinary_default","x2_wrong_sign_true_margin_025",0.0092443729903537
1,100,108,31,"ordinary_default","mean_absolute_prediction_change",0.198813031557105
1,250,258,37,"ordinary_default","cate_correlation",0.743516591218786
1,250,258,37,"ordinary_default","cate_rank_correlation",0.79314255487327
1,250,258,37,"ordinary_default","sign_reversal",0.350333333333333
1,250,258,37,"ordinary_default","strong_reversal_010",0.245066666666667
1,250,258,37,"ordinary_default","strong_reversal_025",0.0319666666666667
1,250,258,37,"ordinary_default","reversal_given_true_margin_025",0.147329403358342
1,250,258,37,"ordinary_default","x1_wrong_sign_true_margin_025",0.000223294033583423
1,250,258,37,"ordinary_default","x2_wrong_sign_true_margin_025",0.147106109324759
1,250,258,37,"ordinary_default","mean_absolute_prediction_change",0.329671315861205
1,500,508,43,"ordinary_default","cate_correlation",0.567842683937189
1,500,508,43,"ordinary_default","cate_rank_correlation",0.775479295502977
1,500,508,43,"ordinary_default","sign_reversal",0.4868
1,500,508,43,"ordinary_default","strong_reversal_010",0.2692
1,500,508,43,"ordinary_default","strong_reversal_025",0.1289
1,500,508,43,"ordinary_default","reversal_given_true_margin_025",0.325919971418364
1,500,508,43,"ordinary_default","x1_wrong_sign_true_margin_025",0.000267952840300107
1,500,508,43,"ordinary_default","x2_wrong_sign_true_margin_025",0.325652018578064
1,500,508,43,"ordinary_default","mean_absolute_prediction_change",0.40002627766562
1,500,508,43,"class_sampled_default","cate_correlation",1
1,500,508,43,"class_sampled_default","cate_rank_correlation",1
1,500,508,43,"class_sampled_default","sign_reversal",0
1,500,508,43,"class_sampled_default","strong_reversal_010",0
1,500,508,43,"class_sampled_default","strong_reversal_025",0
1,500,508,43,"class_sampled_default","reversal_given_true_margin_025",0
1,500,508,43,"class_sampled_default","x1_wrong_sign_true_margin_025",0.000580564487316899
1,500,508,43,"class_sampled_default","x2_wrong_sign_true_margin_025",0.000580564487316899
1,500,508,43,"class_sampled_default","mean_absolute_prediction_change",0
2,40,48,27,"ordinary_default","cate_correlation",0.990817250070047
2,40,48,27,"ordinary_default","cate_rank_correlation",0.992909653603233
2,40,48,27,"ordinary_default","sign_reversal",0.0722333333333333
2,40,48,27,"ordinary_default","strong_reversal_010",1e-04
2,40,48,27,"ordinary_default","strong_reversal_025",0
2,40,48,27,"ordinary_default","reversal_given_true_margin_025",0.000222637812806127
2,40,48,27,"ordinary_default","x1_wrong_sign_true_margin_025",0.000712441000979606
2,40,48,27,"ordinary_default","x2_wrong_sign_true_margin_025",0.000846023688663283
