"dimension","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high"
40,"ordinary_default","cate_correlation",20,0.992881669547229,0.000917302014702388,0.000205114966077205,0.99245235898931,0.993310980105147
40,"ordinary_default","cate_rank_correlation",20,0.969409122382099,0.040182597298618,0.00898510190722093,0.950603087958976,0.988215156805222
40,"ordinary_default","sign_reversal",20,0.0682583333333333,0.0555180386627541,0.012414210842738,0.0422750914229863,0.0942415752436804
40,"ordinary_default","strong_reversal_010",20,0.000235,0.000337079822916685,7.537333978853e-05,7.72417867615159e-05,0.000392758213238484
40,"ordinary_default","strong_reversal_025",20,0,0,0,0,0
40,"ordinary_default","reversal_given_true_margin_025",20,0.00404228141989995,0.00684164679148804,0.00152983873038106,0.000840292157846926,0.00724427068195297
40,"ordinary_default","x1_wrong_sign_true_margin_025",20,0.00256775762879697,0.00248406845385481,0.000555454592358216,0.00140517780585966,0.00373033745173428
40,"ordinary_default","x2_wrong_sign_true_margin_025",20,0.00610299387520043,0.00816332062348464,0.00182537398362376,0.00228244221918478,0.00992354553121608
40,"ordinary_default","mean_absolute_prediction_change",20,0.0758546308308872,0.00547420903871705,0.00122407035336151,0.0732926221370135,0.0784166395247609
100,"ordinary_default","cate_correlation",20,0.927996019894313,0.00585181265024135,0.00130850508775329,0.92525728727033,0.930734752518297
100,"ordinary_default","cate_rank_correlation",20,0.850286129226985,0.0431144473533094,0.00964068350943357,0.830107946740803,0.870464311713167
100,"ordinary_default","sign_reversal",20,0.21856,0.0582489551144896,0.0130248623254333,0.191298649847512,0.245821350152488
100,"ordinary_default","strong_reversal_010",20,0.10566,0.0814394336714417,0.0182104109738429,0.0675451717910858,0.143774828208914
100,"ordinary_default","strong_reversal_025",20,1.33333333333333e-05,2.2685234912624e-05,5.07257273501788e-06,2.71631658120516e-06,2.39503500854615e-05
100,"ordinary_default","reversal_given_true_margin_025",20,0.0250488659432184,0.0334185981079838,0.00747262570821975,0.00940848058632449,0.0406892513001122
100,"ordinary_default","x1_wrong_sign_true_margin_025",20,0.00205580705881588,0.00179534940428517,0.000401452331134538,0.001215557673053,0.00289605644457876
100,"ordinary_default","x2_wrong_sign_true_margin_025",20,0.0252871384576896,0.0333269586072763,0.00745213449291915,0.00968964170732394,0.0408846352080552
100,"ordinary_default","mean_absolute_prediction_change",20,0.202242740678472,0.0074952974162883,0.00167599945343992,0.198734833507247,0.205750647849697
250,"ordinary_default","cate_correlation",20,0.737668515767971,0.0149679819612284,0.00334694251512973,0.730663284575082,0.744673746960859
250,"ordinary_default","cate_rank_correlation",20,0.792910030958856,0.00574658469353305,0.00128497540131997,0.79022054653457,0.795599515383141
250,"ordinary_default","sign_reversal",20,0.372255,0.0886985098307679,0.019833589748453,0.330742819571222,0.413767180428778
250,"ordinary_default","strong_reversal_010",20,0.259588333333333,0.0674709773213769,0.0150869691798945,0.228010943931697,0.291165722734969
250,"ordinary_default","strong_reversal_025",20,0.06558,0.0863258734161006,0.0193030521175443,0.0251782475944825,0.105981752405517
250,"ordinary_default","reversal_given_true_margin_025",20,0.172635239224802,0.123780583460975,0.0276781798913327,0.114704142930002,0.230566335519602
250,"ordinary_default","x1_wrong_sign_true_margin_025",20,0.00201744628744372,0.00196689348059281,0.00043981075271067,0.00109691180263287,0.00293798077225458
250,"ordinary_default","x2_wrong_sign_true_margin_025",20,0.171310568165935,0.123403980071709,0.0275939688134372,0.113555727682818,0.229065408649051
250,"ordinary_default","mean_absolute_prediction_change",20,0.33060779119014,0.0142951894741738,0.00319650154154921,0.323917436573724,0.337298145806555
500,"ordinary_default","cate_correlation",20,0.568363034863886,0.0190351240591082,0.00425638313563076,0.559454322576233,0.577271747151539
500,"ordinary_default","cate_rank_correlation",20,0.77881849270482,0.00682164352203759,0.00152536586335471,0.775625865261046,0.782011120148595
500,"ordinary_default","sign_reversal",20,0.462203333333333,0.0442315239122771,0.0098904694216259,0.441502342924481,0.482904323742186
500,"ordinary_default","strong_reversal_010",20,0.313686666666667,0.0939129660535884,0.0209995776064454,0.269734045603962,0.357639287729371
500,"ordinary_default","strong_reversal_025",20,0.097915,0.0925586929169969,0.0206967529270933,0.0545961982754481,0.141233801724552
500,"ordinary_default","reversal_given_true_margin_025",20,0.289901615805519,0.0594497816155748,0.0132933752939943,0.262078261550912,0.317724970060126
500,"ordinary_default","x1_wrong_sign_true_margin_025",20,0.00237788156148099,0.00217610205264113,0.00048659121156824,0.00135943445100498,0.003396328671957
500,"ordinary_default","x2_wrong_sign_true_margin_025",20,0.288030130337142,0.0596221066393006,0.0133319083407218,0.260126125488845,0.31593413518544
500,"ordinary_default","mean_absolute_prediction_change",20,0.395297033276974,0.0231501434306931,0.00517652943999,0.384462432640722,0.406131633913225
500,"class_sampled_default","cate_correlation",20,1,9.53009976799537e-17,2.13099509135926e-17,1,1
500,"class_sampled_default","cate_rank_correlation",20,1,0,0,1,1
500,"class_sampled_default","sign_reversal",20,0,0,0,0,0
500,"class_sampled_default","strong_reversal_010",20,0,0,0,0,0
500,"class_sampled_default","strong_reversal_025",20,0,0,0,0,0
500,"class_sampled_default","reversal_given_true_margin_025",20,0,0,0,0,0
500,"class_sampled_default","x1_wrong_sign_true_margin_025",20,0.00641185881862777,0.00607091529989663,0.00135749792962124,0.00357058299812104,0.0092531346391345
500,"class_sampled_default","x2_wrong_sign_true_margin_025",20,0.00641185881862777,0.00607091529989663,0.00135749792962124,0.00357058299812104,0.0092531346391345
500,"class_sampled_default","mean_absolute_prediction_change",20,0,0,0,0,0
