"dimension","method","metric","replications","mean","mcse","ci95_low","ci95_high"
500,"class_x1","mae",100,0.456545719697247,0.00153853565751647,0.453492931164983,0.459598508229512
500,"class_x2","mae",100,0.456545719697247,0.00153853565751647,0.453492931164983,0.459598508229512
40,"ordinary_x1","mae",100,0.145508597808245,0.00314068832755661,0.139276790789057,0.151740404827432
100,"ordinary_x1","mae",100,0.245499404184399,0.00381300584377171,0.237933573352689,0.253065235016109
250,"ordinary_x1","mae",100,0.364497063763629,0.00270941855928016,0.359120989529363,0.369873137997896
500,"ordinary_x1","mae",100,0.425587993870544,0.00182792448554323,0.421960995120109,0.429214992620979
40,"ordinary_x2","mae",100,0.125492279767357,0.00271963126726553,0.120095941304784,0.13088861822993
100,"ordinary_x2","mae",100,0.21411180704436,0.00403313940027538,0.206109183478222,0.222114430610497
250,"ordinary_x2","mae",100,0.369670168909622,0.00307457215691261,0.363569550717,0.375770787102243
500,"ordinary_x2","mae",100,0.465778319171251,0.00208466553106274,0.461641890486129,0.469914747856374
500,"class_x1","mean_error",100,-0.00214351716432174,0.00346130884052012,-0.00901150484035768,0.0047244705117142
500,"class_x2","mean_error",100,-0.00214351716432174,0.00346130884052012,-0.00901150484035768,0.0047244705117142
40,"ordinary_x1","mean_error",100,-0.0015337433267444,0.00340735812358763,-0.00829468107569266,0.00522719442220386
100,"ordinary_x1","mean_error",100,-0.00173284321248823,0.00342797333687086,-0.00853468601709364,0.00506899959211719
250,"ordinary_x1","mean_error",100,-0.00198239064409928,0.0034563015235981,-0.00884044271701659,0.00487566142881804
500,"ordinary_x1","mean_error",100,-0.00196673517818296,0.00347321459982412,-0.0088583464636514,0.00492487610728549
40,"ordinary_x2","mean_error",100,-0.00132962779201871,0.00337279915467042,-0.0080219930490121,0.00536273746497468
100,"ordinary_x2","mean_error",100,-0.00163183460545615,0.00336585396147089,-0.00831041909237099,0.00504674988145868
250,"ordinary_x2","mean_error",100,-0.001972733295042,0.00335017516640463,-0.00862020765100591,0.00467474106092191
500,"ordinary_x2","mean_error",100,-0.00181174317958994,0.00338484848565685,-0.00852801692338189,0.004904530564202
500,"class_x1","mse",100,0.365288666795616,0.00209628909020015,0.361129174447415,0.369448159143817
500,"class_x2","mse",100,0.365288666795616,0.00209628909020015,0.361129174447415,0.369448159143817
40,"ordinary_x1","mse",100,0.0361197749605188,0.00115529458832129,0.0338274198542956,0.0384121300667419
