"dimension","method","metric","replications","mean","mcse","ci95_low","ci95_high"
500,"class_x1_minus_ordinary_x1","mae",100,0.0309577258267034,0.00243134594284525,0.026133407991739,0.0357820436616678
500,"class_x1_minus_ordinary_x2","mae",100,-0.00923259947400388,0.0010917709065648,-0.0113989098140586,-0.00706628913394913
40,"ordinary_x2_minus_ordinary_x1","mae",100,-0.0200163180408878,0.00313760104583093,-0.0262419992233408,-0.0137906368584348
100,"ordinary_x2_minus_ordinary_x1","mae",100,-0.0313875971400398,0.00613784016118132,-0.0435664036339836,-0.0192087906460959
250,"ordinary_x2_minus_ordinary_x1","mae",100,0.00517310514599254,0.0047555565727479,-0.00426295081988205,0.0146091611118671
500,"ordinary_x2_minus_ordinary_x1","mae",100,0.0401903253007073,0.00319069540097741,0.0338592933987391,0.0465213572026755
500,"class_x1_minus_ordinary_x1","mean_error",100,-0.000176781986138781,0.000743378307353913,-0.00165180582503203,0.00129824185275447
500,"class_x1_minus_ordinary_x2","mean_error",100,-0.000331773984731797,0.000570707584344384,-0.00146418164798686,0.000800633678523265
40,"ordinary_x2_minus_ordinary_x1","mean_error",100,0.000204115534725687,0.00022960395196913,-0.000251468518922694,0.000659699588374068
100,"ordinary_x2_minus_ordinary_x1","mean_error",100,0.000101008607032075,0.000559280877718902,-0.0010087259912359,0.00121074320530005
250,"ordinary_x2_minus_ordinary_x1","mean_error",100,9.65734905727597e-06,0.000915843022208457,-0.00180757390060088,0.00182688859871543
500,"ordinary_x2_minus_ordinary_x1","mean_error",100,0.000154991998593016,0.00103174911439778,-0.00189222208397933,0.00220220608116536
500,"class_x1_minus_ordinary_x1","mse",100,0.169041263062931,0.00139249424572781,0.166278252375571,0.171804273750291
500,"class_x1_minus_ordinary_x2","mse",100,0.130654247983524,0.00122135209218925,0.128230820458347,0.133077675508702
40,"ordinary_x2_minus_ordinary_x1","mse",100,-0.00652684664987749,0.000977443198664098,-0.00846630601387964,-0.00458738728587533
100,"ordinary_x2_minus_ordinary_x1","mse",100,-0.0131863098048485,0.00251714040203426,-0.018180862460088,-0.00819175714960912
