"replication","dimension","method","metric","value"
1,40,"ordinary_x2_minus_ordinary_x1","mae",-0.026564598560287
1,40,"ordinary_x2_minus_ordinary_x1","mean_error",-5.54316168071001e-05
1,40,"ordinary_x2_minus_ordinary_x1","mse",-0.006476867597768
1,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
1,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0101741999900558
1,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.1067
1,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.010174199990056
1,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.1067
10,40,"ordinary_x2_minus_ordinary_x1","mae",0.052677391858669
10,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.0013287634814498
10,40,"ordinary_x2_minus_ordinary_x1","mse",0.012807433831533
10,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
10,40,"ordinary_x2_minus_ordinary_x1","regret",-0.00202616207648606
10,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.00333333333333297
10,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.00202616207648598
10,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0066
100,40,"ordinary_x2_minus_ordinary_x1","mae",-0.063359916937827
100,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.0025323956601685
100,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0265434205032409
100,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
100,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0142216526199287
100,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.1439
100,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.014221652619928
100,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.1439
11,40,"ordinary_x2_minus_ordinary_x1","mae",-0.0359854165366358
11,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.0023758866983137
11,40,"ordinary_x2_minus_ordinary_x1","mse",-0.00980636925512626
11,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
11,40,"ordinary_x2_minus_ordinary_x1","regret",-0.00561866064767047
11,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.059833333333333
11,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.00561866064767103
11,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0598333333333333
12,40,"ordinary_x2_minus_ordinary_x1","mae",-0.052588512068573
12,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.0016752470509251
12,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0143545765291803
12,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
12,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0113005044333195
12,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.112333333333333
12,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.011300504433322
12,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.112333333333333
13,40,"ordinary_x2_minus_ordinary_x1","mae",0.0513194389658397
13,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.000676324393851901
13,40,"ordinary_x2_minus_ordinary_x1","mse",0.016191300431817
13,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
13,40,"ordinary_x2_minus_ordinary_x1","regret",0.00188816472590438
