"cell_id","panel","multiplicity","trees","mtry_rule","n_train","noise_sd","method"
"cell_01","dose_response",1,2000,"fixed_6",3000,1,"ordinary"
"cell_02","dose_response",2,2000,"fixed_6",3000,1,"ordinary"
"cell_03","dose_response",4,2000,"fixed_6",3000,1,"ordinary"
"cell_04","dose_response",8,2000,"fixed_6",3000,1,"ordinary"
"cell_05","dose_response",16,2000,"fixed_6",3000,1,"ordinary"
"cell_06","tree_robustness",8,800,"fixed_6",3000,1,"ordinary"
"cell_07","tree_robustness",8,5000,"fixed_6",3000,1,"ordinary"
"cell_08","default_mtry",8,2000,"grf_default",3000,1,"ordinary"
"cell_09","larger_sample",8,2000,"fixed_6",10000,1,"ordinary"
"cell_10","noise_robustness",8,2000,"fixed_6",3000,0.5,"ordinary"
"cell_11","noise_robustness",8,2000,"fixed_6",3000,2,"ordinary"
"cell_12","invariant_check",16,2000,"fixed_6",3000,1,"class_sampled"
