"replication","data_seed","forest_seed","cell_id","panel","multiplicity","trees","mtry_rule","actual_mtry","n_train","noise_sd","method","metric","value"
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","cate_correlation",0.932496775336896
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",0.822875284698306
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","sign_reversal",0.1078
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","positive_to_negative",0.0191
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","negative_to_positive",0.0887
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",0.00783333333333333
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",0
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_010",0.0137563659778727
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_025",0
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_010",0.072307047938164
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_025",0.0254395311667555
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_010",0.0530784754216959
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_010",0.0242546548376042
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",0.00128751553898064
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",0.0265494583555319
1,20270811,20290811,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",0.149445028857012
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","cate_correlation",0.872428957343987
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",0.812514854789905
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","sign_reversal",0.3296
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","positive_to_negative",0.1315
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","negative_to_positive",0.1981
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",0.0497333333333333
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",0
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_010",0.0874150456995547
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_025",0
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_010",0.263602787191105
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_025",0.175146510388918
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_010",0.11548566424247
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_010",0.152229372120474
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",0.00110992718877642
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",0.176167643402593
1,20270811,20290811,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",0.219815440545629
