"cell_id","panel","multiplicity","trees","mtry_rule","actual_mtry","n_train","noise_sd","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high"
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","cate_correlation",20,0.937993751923982,0.00628218159607119,0.00140473850958133,0.935053600433275,0.940933903414689
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",20,0.892108639684787,0.0519729972763439,0.0116215154904316,0.867784528214635,0.91643275115494
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","sign_reversal",20,0.176906666666667,0.063605141209686,0.0142225419463331,0.14713854425816,0.206674789075173
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","positive_to_negative",20,0.007935,0.0111853259918457,0.00250111492682623,0.00270010629531302,0.013169893704687
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","negative_to_positive",20,0.168971666666667,0.0682539078631875,0.0152620377712095,0.137027854492237,0.200915478841096
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",20,0.0399866666666667,0.0379664801375514,0.00848956304539606,0.0222178070012369,0.0577555263320965
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",20,0,0,0,0,0
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_010",20,0.0495405014629372,0.0427344318707073,0.00955570946427349,0.0295401716972757,0.0695408312285988
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_025",20,0,0,0,0,0
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_010",20,0.104667081062919,0.0354964571900348,0.00793724912373291,0.0880542277211146,0.121279934404723
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_025",20,0.0106149649765034,0.0148915165445119,0.00332984432815913,0.00364552070023121,0.0175844092527755
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_010",20,0.100504259580195,0.0413299386694434,0.00924165523707725,0.0811612528664435,0.119847266293946
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_010",20,0.012666024316768,0.0129010694091544,0.00288476681813122,0.00662813797506039,0.0187039106584755
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",20,0.00165361656655131,0.00108903486194299,0.000243515598117162,0.00114393256206846,0.00216330057103415
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",20,0.0106774564776196,0.0154283393288707,0.00344988155192884,0.0034567714045731,0.0178981415506662
"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",20,0.148793757840523,0.00728658809741435,0.00162933063098593,0.145383529637286,0.152203986043761
"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","cate_correlation",20,0.883896148221722,0.0102016046859527,0.00228114815573707,0.879121650260095,0.888670646183349
"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",20,0.836014032562505,0.0394844794775797,0.00882899801680636,0.817534727337005,0.854493337788004
"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","sign_reversal",20,0.24503,0.0515234993226988,0.0115210046924219,0.22091626004781,0.26914373995219
"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","positive_to_negative",20,0.0278183333333333,0.0502264910822242,0.011230984833114,0.00431161192293078,0.0513250547437359
"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","negative_to_positive",20,0.217211666666667,0.0336640198282105,0.00752750367317795,0.201456420409058,0.232966912924275
"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",20,0.133778333333333,0.0732839724425407,0.0163867944042742,0.0994803784705439,0.168076288196123
"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",20,1e-05,2.67104903062011e-05,5.97264720370147e-06,-2.50089426584171e-06,2.25008942658417e-05
